part,country,name,population,populationYear,populationStatus,populationEvidenceLevel,populationSource,dataStatus,evidenceScore
"ڕۆژهەڵات","ئێران","سنه","412,767 (2016 census)","2016","city_level_verified","primary_official","Statistical Center of Iran — 2016 Urban Population Census","documented","9"
"ڕۆژهەڵات","ئێران","کرماشان","946,651 (2016 census)","2016","city_level_verified","primary_official","Statistical Center of Iran — 2016 Urban Population Census","partial","8"
"ڕۆژهەڵات","ئێران","مەهاباد","168,393 (2016 census)","2016","city_level_verified","primary_official","Statistical Center of Iran — 2016 Urban Population Census","baseline","3"
"ڕۆژهەڵات","ئێران","بۆکان","193,501 (2016 census)","2016","city_level_verified","primary_official","Statistical Center of Iran — 2016 Urban Population Census","baseline","3"
"ڕۆژهەڵات","ئێران","سەقز","165,258 (2016 census)","2016","city_level_verified","primary_official","Statistical Center of Iran — 2016 Urban Population Census","baseline","3"
"ڕۆژهەڵات","ئێران","بانە","110,218 (2016 census)","2016","city_level_verified","primary_official","Statistical Center of Iran — 2016 Urban Population Census","baseline","3"
"ڕۆژهەڵات","ئێران","مریوان","136,654 (2016 census)","2016","city_level_verified","primary_official","Statistical Center of Iran — 2016 Urban Population Census","baseline","3"
"ڕۆژهەڵات","ئێران","پاوە","25,771 (2016 census)","2016","city_level_verified","primary_official","Statistical Center of Iran — 2016 Urban Population Census","baseline","4"
"ڕۆژهەڵات","ئێران","جوانڕۆ","54,354 (2016 census)","2016","city_level_verified","primary_official","Statistical Center of Iran — 2016 Urban Population Census","baseline","4"
"ڕۆژهەڵات","ئێران","ڕەوانسەر","24,527 (2016 census)","2016","city_level_verified","primary_official","Statistical Center of Iran — 2016 Urban Population Census","baseline","4"
"ڕۆژهەڵات","ئێران","پیرانشار","91,515 (2016 census)","2016","city_level_verified","primary_official","Statistical Center of Iran — 2016 Urban Population Census","baseline","3"
"ڕۆژهەڵات","ئێران","شنۆ","39,801 (2016 census)","2016","city_level_verified","primary_official","Statistical Center of Iran — 2016 Urban Population Census","baseline","3"
"ڕۆژهەڵات","ئێران","سەردەشت","46,412 (2016 census)","2016","city_level_verified","primary_official","Statistical Center of Iran — 2016 Urban Population Census","baseline","3"
"ڕۆژهەڵات","ئێران","نەغەدە","81,598 (2016 census)","2016","city_level_verified","primary_official","Statistical Center of Iran — 2016 Urban Population Census","baseline","3"
"ڕۆژهەڵات","ئێران","ورمێ","736,224 (2016 census)","2016","city_level_verified","primary_official","Statistical Center of Iran — 2016 Urban Population Census","baseline","3"
"ڕۆژهەڵات","ئێران","خۆی","198,845 (2016 census)","2016","city_level_verified","primary_official","Statistical Center of Iran — 2016 Urban Population Census","baseline","3"
"ڕۆژهەڵات","ئێران","سلماس","92,811 (2016 census)","2016","city_level_verified","primary_official","Statistical Center of Iran — 2016 Urban Population Census","baseline","3"
"ڕۆژهەڵات","ئێران","ماکو","46,581 (2016 census)","2016","city_level_verified","primary_official","Statistical Center of Iran — 2016 Urban Population Census","baseline","3"
"ڕۆژهەڵات","ئێران","بیجار","50,014 (2016 census)","2016","city_level_verified","primary_official","Statistical Center of Iran — 2016 Urban Population Census","baseline","3"
"ڕۆژهەڵات","ئێران","قوروە","78,276 (2016 census)","2016","city_level_verified","primary_official","Statistical Center of Iran — 2016 Urban Population Census","baseline","3"
"ڕۆژهەڵات","ئێران","کامیاران","57,077 (2016 census)","2016","city_level_verified","primary_official","Statistical Center of Iran — 2016 Urban Population Census","baseline","3"
"ڕۆژهەڵات","ئێران","دیواندەرە","34,007 (2016 census)","2016","city_level_verified","primary_official","Statistical Center of Iran — 2016 Urban Population Census","baseline","3"
"ڕۆژهەڵات","ئێران","دەگۆڵان","25,992 (2016 census)","2016","city_level_verified","primary_official","Statistical Center of Iran — 2016 Urban Population Census","baseline","3"
"ڕۆژهەڵات","ئێران","سروئاباد","5,121 (2016 census)","2016","city_level_verified","primary_official","Statistical Center of Iran — 2016 Urban Population Census","baseline","3"
"ڕۆژهەڵات","ئێران","ئیلام","194,030 (2016 census)","2016","city_level_verified","primary_official","Statistical Center of Iran — 2016 Urban Population Census","baseline","3"
"ڕۆژهەڵات","ئێران","ئیسڵامئاباد","90,559 (2016 census)","2016","city_level_verified","primary_official","Statistical Center of Iran — 2016 Urban Population Census","baseline","4"
"ڕۆژهەڵات","ئێران","سەرپێڵی زەهاو","45,481 (2016 census)","2016","city_level_verified","primary_official","Statistical Center of Iran — 2016 Urban Population Census","baseline","4"
"ڕۆژهەڵات","ئێران","قەسری شیرین","18,473 (2016 census)","2016","city_level_verified","primary_official","Statistical Center of Iran — 2016 Urban Population Census","baseline","4"
